Financial Instrument,Volume ($),Change %,Sector,Volume/Min,Average Volume ($),Average Volume,Industry,Category,Bid,Imbalance,Ask,
PSMT,3402000.0,-0.01180948662892844,"Consumer, Cyclical",0.0,12524625.00,123700.0,Retail,Retail-Misc/Diversified,100.42,NoMD,101.25,
PZZA,108401571.00,-0.14779812938425566,"Consumer, Cyclical",3200.0,39685139.00,453700.0,Retail,Retail-Restaurants,87.39,NoMD,87.56,
QRTEA,13723750.00,-0.007148530579825247,"Consumer, Cyclical",23051.681066681453,50138750.00,4011100.0,Retail,Retail-Catalog Shopping,12.49,NoMD,12.50,
QRTEP,3159052.0,-0.0003,"Consumer, Cyclical",0.0,7927620.0,79300.0,Retail,Retail-Catalog Shopping,99.95,NoMD,100.00,
QSR,51611012.00,-0.003869719445340245,"Consumer, Cyclical",2200.0,97538264.00,1578800.0,Retail,Retail-Restaurants,61.76,NoMD,61.78,
QVCC,631764.0,-0.0043685464654487464,"Consumer, Cyclical",48.387096774193544,1669662.0,66600.0,Retail,Retail-Mail Order,25.05,NoMD,25.10,
RAD,15116213.00,-0.019581056466302354,"Consumer, Cyclical",4600.0,93498331.00,4342700.0,Retail,Retail-Drug Store,21.53,NoMD,21.56,
RAVE,264659.0,-0.029925373134328376,"Consumer, Cyclical",1200.0,2189161.0,1684100.0,Retail,Retail-Restaurants,1.29,NoMD,1.30,
RENN,1130500.0,-0.0168539325842697,"Consumer, Cyclical",70.71067811865476,1591625.0,181900.0,Retail,Retail-Automobile,8.75,NoMD,8.78,
RGS,2197260.0,-0.009493670886076028,"Consumer, Cyclical",353.553390593274,8268208.0,660400.0,Retail,Retail-Hair Salons,12.47,NoMD,12.52,
RH,60432360.00,-0.03520864015709378,"Consumer, Cyclical",800.0,233278736.00,474800.0,Retail,Retail-Home Furnishings,491.01,NoMD,491.63,
ROST,84893452.00,-0.0314699457972656,"Consumer, Cyclical",2545.584412271571,207055740.00,1729500.0,Retail,Retail-Apparel/Shoe,119.74,NoMD,119.86,
RRGB,2857701.0,-0.0470473718364698,"Consumer, Cyclical",200.0,11794992.00,401600.0,Retail,Retail-Restaurants,29.29,NoMD,29.42,
RUSHA,2551208.0,-0.005906406179009657,"Consumer, Cyclical",700.0000000000001,9150215.0,209100.0,Retail,Retail-Automobile,43.65,NoMD,43.80,
RUTH,3010963.0,-0.04261603375527418,"Consumer, Cyclical",3000.0,12872037.00,567300.0,Retail,Retail-Restaurants,22.64,NoMD,22.72,
SCVL,898188.0,-0.04377487208641277,"Consumer, Cyclical",141.4213562373095,7008894.0,138900.0,Retail,Retail-Apparel/Shoe,50.43,NoMD,50.78,
