Symbol,Date,Close,Open,Bid,Ask,Last,Volume,AvgVolume,VolumeFirstMinute
AAPL,2021-03-10 20:08:00,121.08,121.54,120.52,120.52,120.52,1646,2834.63,19565
AAPL,2021-03-10 20:09:00,121.08,121.54,120.59,120.59,120.59,1215,2834.63,19565
AAPL,2021-03-10 20:10:00,121.08,121.54,120.57,120.57,120.57,1116,2834.63,19565
AAPL,2021-03-10 20:11:00,121.08,121.54,120.51,120.51,120.51,1023,2834.63,19565
AAPL,2021-03-10 20:12:00,121.08,121.54,120.5,120.5,120.5,1829,2834.63,19565
AAPL,2021-03-10 20:13:00,121.08,121.54,120.53,120.53,120.53,770,2834.63,19565
AAPL,2021-03-10 20:14:00,121.08,121.54,120.45,120.45,120.45,1471,2834.63,19565
AAPL,2021-03-10 20:15:00,121.08,121.54,120.49,120.49,120.49,1475,2834.63,19565
AAPL,2021-03-10 20:16:00,121.08,121.54,120.49,120.49,120.49,1244,2834.63,19565
AAPL,2021-03-10 20:17:00,121.08,121.54,120.43,120.43,120.43,1149,2834.63,19565
AAPL,2021-03-10 20:18:00,121.08,121.54,120.48,120.48,120.48,899,2834.63,19565
AAPL,2021-03-10 20:19:00,121.08,121.54,120.5,120.5,120.5,1147,2834.63,19565
AAPL,2021-03-10 20:20:00,121.08,121.54,120.51,120.51,120.51,708,2834.63,19565
AAPL,2021-03-10 20:21:00,121.08,121.54,120.53,120.53,120.53,1311,2834.63,19565
AAPL,2021-03-10 20:22:00,121.08,121.54,120.46,120.46,120.46,812,2834.63,19565
AAPL,2021-03-10 20:23:00,121.08,121.54,120.43,120.43,120.43,1299,2834.63,19565
AAPL,2021-03-10 20:24:00,121.08,121.54,120.37,120.37,120.37,1900,2834.63,19565
AAPL,2021-03-10 20:25:00,121.08,121.54,120.29,120.29,120.29,2400,2834.63,19565
AAPL,2021-03-10 20:26:00,121.08,121.54,120.33,120.33,120.33,1164,2834.63,19565
AAPL,2021-03-10 20:27:00,121.08,121.54,120.41,120.41,120.41,1528,2834.63,19565
AAPL,2021-03-10 20:28:00,121.08,121.54,120.36,120.36,120.36,1142,2834.63,19565
AAPL,2021-03-10 20:29:00,121.08,121.54,120.36,120.36,120.36,1036,2834.63,19565
AAPL,2021-03-10 20:30:00,121.08,121.54,120.36,120.36,120.36,1551,2834.63,19565
AAPL,2021-03-10 20:31:00,121.08,121.54,120.32,120.32,120.32,1015,2834.63,19565
AAPL,2021-03-10 20:32:00,121.08,121.54,120.32,120.32,120.32,1446,2834.63,19565
AAPL,2021-03-10 20:33:00,121.08,121.54,120.29,120.29,120.29,931,2834.63,19565
AAPL,2021-03-10 20:34:00,121.08,121.54,120.22,120.22,120.22,1722,2834.63,19565
AAPL,2021-03-10 20:35:00,121.08,121.54,120.24,120.24,120.24,1705,2834.63,19565
AAPL,2021-03-10 20:36:00,121.08,121.54,120.27,120.27,120.27,1357,2834.63,19565
AAPL,2021-03-10 20:37:00,121.08,121.54,120.28,120.28,120.28,1224,2834.63,19565
AAPL,2021-03-10 20:38:00,121.08,121.54,120.28,120.28,120.28,1415,2834.63,19565
