Symbol,Date,Close,Open,Bid,Ask,Last,Volume,AvgVolume,VolumeFirstMinute
MNSO,2021-01-06 18:51:00,26.74,26.54,29.02,29.02,29.02,1,36.54,126
MNSO,2021-01-06 18:52:00,26.74,26.54,29.03,29.03,29.03,,36.54,126
MNSO,2021-01-06 18:53:00,26.74,26.54,29.03,29.03,29.03,,36.54,126
MNSO,2021-01-06 18:54:00,26.74,26.54,29.04,29.04,29.04,11,36.54,126
MNSO,2021-01-06 18:55:00,26.74,26.54,29.03,29.03,29.03,,36.54,126
MNSO,2021-01-06 18:56:00,26.74,26.54,29.03,29.03,29.03,,36.54,126
MNSO,2021-01-06 18:57:00,26.74,26.54,29.03,29.03,29.03,,36.54,126
MNSO,2021-01-06 18:58:00,26.74,26.54,29.05,29.05,29.05,1,36.54,126
MNSO,2021-01-06 18:59:00,26.74,26.54,29.03,29.03,29.03,2,36.54,126
MNSO,2021-01-06 19:00:00,26.74,26.54,29.03,29.03,29.03,,36.54,126
MNSO,2021-01-06 19:01:00,26.74,26.54,29.04,29.04,29.04,10,36.54,126
MNSO,2021-01-06 19:02:00,26.74,26.54,29.02,29.02,29.02,1,36.54,126
MNSO,2021-01-06 19:03:00,26.74,26.54,29.03,29.03,29.03,,36.54,126
MNSO,2021-01-06 19:04:00,26.74,26.54,29.03,29.03,29.03,,36.54,126
MNSO,2021-01-06 19:05:00,26.74,26.54,29.03,29.03,29.03,,36.54,126
MNSO,2021-01-06 19:06:00,26.74,26.54,29.01,29.01,29.01,8,36.54,126
MNSO,2021-01-06 19:07:00,26.74,26.54,29.02,29.02,29.02,1,36.54,126
MNSO,2021-01-06 19:08:00,26.74,26.54,29.03,29.03,29.03,,36.54,126
MNSO,2021-01-06 19:09:00,26.74,26.54,29.02,29.02,29.02,1,36.54,126
MNSO,2021-01-06 19:10:00,26.74,26.54,29.02,29.02,29.02,77,36.54,126
MNSO,2021-01-06 19:11:00,26.74,26.54,29.0,29.0,29.0,3,36.54,126
MNSO,2021-01-06 19:12:00,26.74,26.54,28.99,28.99,28.99,34,36.54,126
MNSO,2021-01-06 19:13:00,26.74,26.54,28.98,28.98,28.98,5,36.54,126
MNSO,2021-01-06 19:14:00,26.74,26.54,28.98,28.98,28.98,,36.54,126
MNSO,2021-01-06 19:15:00,26.74,26.54,28.99,28.99,28.99,64,36.54,126
MNSO,2021-01-06 19:16:00,26.74,26.54,28.97,28.97,28.97,4,36.54,126
MNSO,2021-01-06 19:17:00,26.74,26.54,28.94,28.94,28.94,33,36.54,126
MNSO,2021-01-06 19:18:00,26.74,26.54,28.93,28.93,28.93,49,36.54,126
MNSO,2021-01-06 19:19:00,26.74,26.54,28.95,28.95,28.95,101,36.54,126
MNSO,2021-01-06 19:20:00,26.74,26.54,28.99,28.99,28.99,6,36.54,126
MNSO,2021-01-06 19:21:00,26.74,26.54,29.01,29.01,29.01,16,36.54,126
MNSO,2021-01-06 19:22:00,26.74,26.54,29.01,29.01,29.01,,36.54,126
MNSO,2021-01-06 19:23:00,26.74,26.54,29.01,29.01,29.01,,36.54,126
MNSO,2021-01-06 19:24:00,26.74,26.54,29.0,29.0,29.0,17,36.54,126
MNSO,2021-01-06 19:25:00,26.74,26.54,28.98,28.98,28.98,35,36.54,126
MNSO,2021-01-06 19:26:00,26.74,26.54,28.96,28.96,28.96,,36.54,126
MNSO,2021-01-06 19:27:00,26.74,26.54,28.96,28.96,28.96,110,36.54,126
MNSO,2021-01-06 19:28:00,26.74,26.54,28.93,28.93,28.93,55,36.54,126
MNSO,2021-01-06 19:29:00,26.74,26.54,28.96,28.96,28.96,31,36.54,126
MNSO,2021-01-06 19:30:00,26.74,26.54,28.96,28.96,28.96,58,36.54,126
MNSO,2021-01-06 19:31:00,26.74,26.54,28.98,28.98,28.98,35,36.54,126
MNSO,2021-01-06 19:32:00,26.74,26.54,28.97,28.97,28.97,25,36.54,126
MNSO,2021-01-06 19:33:00,26.74,26.54,28.99,28.99,28.99,10,36.54,126
MNSO,2021-01-06 19:34:00,26.74,26.54,28.99,28.99,28.99,18,36.54,126
MNSO,2021-01-06 19:35:00,26.74,26.54,29.01,29.01,29.01,,36.54,126
MNSO,2021-01-06 19:36:00,26.74,26.54,28.95,28.95,28.95,18,36.54,126
MNSO,2021-01-06 19:37:00,26.74,26.54,28.89,28.89,28.89,25,36.54,126
MNSO,2021-01-06 19:38:00,26.74,26.54,28.9,28.9,28.9,101,36.54,126
MNSO,2021-01-06 19:39:00,26.74,26.54,28.98,28.98,28.98,45,36.54,126
MNSO,2021-01-06 19:40:00,26.74,26.54,28.98,28.98,28.98,17,36.54,126
MNSO,2021-01-06 19:41:00,26.74,26.54,28.96,28.96,28.96,69,36.54,126
MNSO,2021-01-06 19:42:00,26.74,26.54,28.91,28.91,28.91,211,36.54,126
MNSO,2021-01-06 19:43:00,26.74,26.54,28.95,28.95,28.95,10,36.54,126
MNSO,2021-01-06 19:44:00,26.74,26.54,28.96,28.96,28.96,56,36.54,126
MNSO,2021-01-06 19:45:00,26.74,26.54,28.95,28.95,28.95,30,36.54,126
MNSO,2021-01-06 19:46:00,26.74,26.54,28.91,28.91,28.91,65,36.54,126
MNSO,2021-01-06 19:47:00,26.74,26.54,28.77,28.77,28.77,4,36.54,126
MNSO,2021-01-06 19:48:00,26.74,26.54,28.71,28.71,28.71,24,36.54,126
MNSO,2021-01-06 19:49:00,26.74,26.54,28.63,28.63,28.63,100,36.54,126
