Financial Instrument,Volume ($),Average Volume,Last,Sector,Volume/Min,Average Volume ($),Industry,Category,
ABG,22553795.00,216900.0,169.45,"Consumer, Cyclical",NoMD,36753705.00,Retail,Retail-Automobile,
LMPX,1582020.0,214700.0,18.70,"Consumer, Cyclical",NoMD,4014890.0,Retail,Retail-Automobile,
RUSHA,7073081.0,212100.0,42.43,"Consumer, Cyclical",NoMD,8999403.0,Retail,Retail-Automobile,
CATO,2614846.0,210500.0,12.34,"Consumer, Cyclical",NoMD,2597570.0,Retail,Retail-Apparel/Shoe,
HVT,9299307.0,210400.0,36.17,"Consumer, Cyclical",NoMD,7610168.0,Retail,Retail-Home Furnishings,
GPI,28048960.00,207900.0,152.44,"Consumer, Cyclical",NoMD,31692276.00,Retail,Retail-Automobile,
MOV,4156440.0,205900.0,22.80,"Consumer, Cyclical",NoMD,4694520.0,Retail,Retail-Jewelry,
MOHO,262624.0,198400.0,2.32,"Consumer, Cyclical",NoMD,460288.0,Retail,Retail-Vitamins/Nutr Sup,
CTRN,16777506.00,197300.0,77.89,"Consumer, Cyclical",NoMD,15367697.00,Retail,Retail-Discount,
GOED,309025.0,193500.0,11.75,"Consumer, Cyclical",NoMD,2273625.0,Retail,Retail-Consumer Electron,
RENN,955650.0,183100.0,8.31,"Consumer, Cyclical",NoMD,1521561.0,Retail,Retail-Automobile,
LAZY,2643267.0,149400.0,19.03,"Consumer, Cyclical",NoMD,2843082.0,Retail,Retail-Automobile,
FAT,297192.0,141900.0,8.54,"Consumer, Cyclical",NoMD,1211826.0,Retail,Retail-Restaurants,
CHUY,7933500.0,141200.0,41.00,"Consumer, Cyclical",NoMD,5789200.0,Retail,Retail-Restaurants,
TA,13286130.00,139700.0,24.70,"Consumer, Cyclical",NoMD,3450590.0,Retail,Retail-Petroleum Prod,
SCVL,4161600.0,137700.0,48.96,"Consumer, Cyclical",NoMD,6741792.0,Retail,Retail-Apparel/Shoe,
BXC,4687690.0,132300.0,40.10,"Consumer, Cyclical",NoMD,5305230.0,Retail,Retail-Building Products,
FRGI,1106350.0,130300.0,15.26,"Consumer, Cyclical",NoMD,1988378.0,Retail,Retail-Restaurants,
PSMT,9567840.0,124500.0,96.45,"Consumer, Cyclical",NoMD,12008025.00,Retail,Retail-Misc/Diversified,
PBPB,791414.0,123800.0,4.99,"Consumer, Cyclical",NoMD,617762.0,Retail,Retail-Restaurants,
GTIM,298252.0,109000.0,3.46,"Consumer, Cyclical",NoMD,377140.0,Retail,Retail-Restaurants,
STKS,266122.0,93700.0,4.91,"Consumer, Cyclical",NoMD,460067.0,Retail,Retail-Restaurants,
LUB,68266.0,92600.0,3.19,"Consumer, Cyclical",NoMD,295394.0,Retail,Retail-Restaurants,
ELA,474361.0,91600.0,5.23,"Consumer, Cyclical",NoMD,479068.0,Retail,Retail-Jewelry,
BSET,1219201.0,87600.0,21.13,"Consumer, Cyclical",NoMD,1850987.0,Retail,Retail-Home Furnishings,
QRTEP,18925178.00,81400.0,98.62,"Consumer, Cyclical",NoMD,8027668.0,Retail,Retail-Catalog Shopping,
CNXN,3726810.0,74000.0,46.01,"Consumer, Cyclical",NoMD,3404740.0,Retail,Retail-Computer Equip,
GAIA,626416.0,67200.0,9.52,"Consumer, Cyclical",NoMD,639744.0,Retail,Retail-Misc/Diversified,
QVCC,1481060.0,67100.0,24.85,"Consumer, Cyclical",NoMD,1667435.0,Retail,Retail-Mail Order,
BWMX,3615840.0,64200.0,43.20,"Consumer, Cyclical",NoMD,2773440.0,Retail,Retail-Building Products,
HBP,142484.0,60000.0,3.98,"Consumer, Cyclical",NoMD,238800.0,Retail,Retail-Building Products,
KRUS,2415112.0,59700.0,29.89,"Consumer, Cyclical",NoMD,1784433.0,Retail,Retail-Restaurants,
ARKR,811328.0,52100.0,18.11,"Consumer, Cyclical",NoMD,943531.0,Retail,Retail-Restaurants,
JAX,217875.0,49100.0,8.75,"Consumer, Cyclical",NoMD,429625.0,Retail,Retail-Restaurants,
CRMT,5130000.0,40000.0,135.00,"Consumer, Cyclical",NoMD,5400000.0,Retail,Retail-Automobile,
BBQ,213525.0,16800.0,5.85,"Consumer, Cyclical",NoMD,98280.0,Retail,Retail-Restaurants,
DDT,122832.0,15900.0,25.59,"Consumer, Cyclical",NoMD,406881.0,Retail,Retail-Regnl Dept Store,
RUSHB,462990.0,15400.0,37.95,"Consumer, Cyclical",NoMD,584430.0,Retail,Retail-Automobile,
QVCD,699732.0,14300.0,25.08,"Consumer, Cyclical",NoMD,358644.0,Retail,Retail-Mail Order,
WINA,3106224.0,12300.0,176.49,"Consumer, Cyclical",NoMD,2170827.0,Retail,Retail-Apparel/Shoe,
QRTEB,54736.0,9700.0,12.44,"Consumer, Cyclical",NoMD,120668.0,Retail,Retail-Catalog Shopping,
TANNL,293020.0,7400.0,25.48,"Consumer, Cyclical",NoMD,188552.0,Retail,Retail-Petroleum Prod,
BH,1108144.0,6280.0,117.14,"Consumer, Cyclical",NoMD,735639.0,Retail,Retail-Restaurants,
FATBP,102000.0,6100.0,20.00,"Consumer, Cyclical",NoMD,122000.0,Retail,Retail-Restaurants,
TANNI,169585.0,4800.0,26.09,"Consumer, Cyclical",NoMD,125232.0,Retail,Retail-Petroleum Prod,
TANNZ,213528.0,4600.0,25.42,"Consumer, Cyclical",NoMD,116932.0,Retail,Retail-Petroleum Prod,
BDL,45600.0,1900.0,24.00,"Consumer, Cyclical",NoMD,45600.0,Retail,Retail-Restaurants,
