Symbol,Exchange,Currency
QRVO,SMART,USD
ASAN,SMART,USD
ALLY,SMART,USD
LYFT,SMART,USD
CINF,SMART,USD
TTWO,SMART,USD
HOLX,SMART,USD
COG,SMART,USD
TER,SMART,USD
AMCR,SMART,USD
TFX,SMART,USD
SSNC,SMART,USD
FANG,SMART,USD
WDC,SMART,USD
PFG,SMART,USD
J,SMART,USD
JBHT,SMART,USD
POOL,SMART,USD
ROL,SMART,USD
DPZ,SMART,USD
DGX,SMART,USD
GPC,SMART,USD
CLR,SMART,USD
GDRX,SMART,USD
AVY,SMART,USD
PAGS,SMART,USD
NUAN,SMART,USD
CMS,SMART,USD
BSY,SMART,USD
HEI,SMART,USD
AKAM,SMART,USD
CDAY,SMART,USD
CE,SMART,USD
CG,SMART,USD
ENTG,SMART,USD
BBWI,SMART,USD
WAB,SMART,USD
UAL,SMART,USD
CFLT,SMART,USD
EXAS,SMART,USD
SBNY,SMART,USD
VTRS,SMART,USD
PPD,SMART,USD
COUP,SMART,USD
PWR,SMART,USD
DLO,SMART,USD
BRO,SMART,USD
CAG,SMART,USD
LBTYA,SMART,USD
IEX,SMART,USD
TXG,SMART,USD
TXT,SMART,USD
OMC,SMART,USD
MKTX,SMART,USD
MOH,SMART,USD
CNP,SMART,USD
PCTY,SMART,USD
RGEN,SMART,USD
DNA,SMART,USD
AES,SMART,USD
AVLR,SMART,USD
LKQ,SMART,USD
ELAN,SMART,USD
BEN,SMART,USD
CHKP,SMART,USD
ACGL,SMART,USD
INCY,SMART,USD
IPG,SMART,USD
MASI,SMART,USD
NLOK,SMART,USD
FDS,SMART,USD
DOCS,SMART,USD
MNDY,SMART,USD
PLUG,SMART,USD
ABMD,SMART,USD
S,SMART,USD
CGNX,SMART,USD
MOS,SMART,USD
SEDG,SMART,USD
L,SMART,USD
CAH,SMART,USD
EVRG,SMART,USD
BMRN,SMART,USD
PTC,SMART,USD
MTN,SMART,USD
AAL,SMART,USD
LUMN,SMART,USD
ZEN,SMART,USD
NWS,SMART,USD
LNT,SMART,USD
NDSN,SMART,USD
EMN,SMART,USD
HWM,SMART,USD
ACI,SMART,USD
ESTC,SMART,USD
MAS,SMART,USD
LDOS,SMART,USD
CLVT,SMART,USD
WRK,SMART,USD
RH,SMART,USD
IEP,SMART,USD
GME,SMART,USD
NVAX,SMART,USD
CTXS,SMART,USD
TECK,SMART,USD
ATH,SMART,USD
FTCH,SMART,USD
PKG,SMART,USD
WRB,SMART,USD
LNC,SMART,USD
CBOE,SMART,USD
CF,SMART,USD
CCK,SMART,USD
AAP,SMART,USD
JLL,SMART,USD
SOFI,SMART,USD
FNF,SMART,USD
WSM,SMART,USD
SJM,SMART,USD
XRAY,SMART,USD
DISCA,SMART,USD
WHR,SMART,USD
LPLA,SMART,USD
SC,SMART,USD
CPB,SMART,USD
FND,SMART,USD
EQH,SMART,USD
OPEN,SMART,USD
FBHS,SMART,USD
MHK,SMART,USD
PENN,SMART,USD
HAS,SMART,USD
DVA,SMART,USD
JKHY,SMART,USD
ARES,SMART,USD
FFIV,SMART,USD
GDDY,SMART,USD
IAC,SMART,USD
PNR,SMART,USD
NVCR,SMART,USD
WLK,SMART,USD
PHM,SMART,USD
DAR,SMART,USD
GGG,SMART,USD
STLD,SMART,USD
ALLE,SMART,USD
FMC,SMART,USD
MQ,SMART,USD
BRKR,SMART,USD
PCOR,SMART,USD
AXON,SMART,USD
TREX,SMART,USD
BG,SMART,USD
QGEN,SMART,USD
ATO,SMART,USD
TRGP,SMART,USD
RHI,SMART,USD
CNA,SMART,USD
UHS,SMART,USD
GLOB,SMART,USD
FICO,SMART,USD
WAL,SMART,USD
CHRW,SMART,USD
WTRG,SMART,USD
PLTK,SMART,USD
DBX,SMART,USD
IVZ,SMART,USD
FIVN,SMART,USD
SNA,SMART,USD
BKI,SMART,USD
MRO,SMART,USD
UWMC,SMART,USD
EWBC,SMART,USD
MRVI,SMART,USD
CMA,SMART,USD
LII,SMART,USD
BLDR,SMART,USD
HSIC,SMART,USD
STNE,SMART,USD
BAH,SMART,USD
GH,SMART,USD
AFG,SMART,USD
DKS,SMART,USD
IS,SMART,USD
XLRN,SMART,USD
WIX,SMART,USD
TPR,SMART,USD
NTRA,SMART,USD
BWA,SMART,USD
CSL,SMART,USD
PEGA,SMART,USD
NCLH,SMART,USD
TTC,SMART,USD
GLBE,SMART,USD
ZION,SMART,USD
FSLR,SMART,USD
TAP,SMART,USD
MMP,SMART,USD
SNX,SMART,USD
RPM,SMART,USD
SCI,SMART,USD
QS,SMART,USD
AGL,SMART,USD
OSH,SMART,USD
DECK,SMART,USD
WYNN,SMART,USD
RE,SMART,USD
LEVI,SMART,USD
NRG,SMART,USD
CHGG,SMART,USD
HRC,SMART,USD
MANH,SMART,USD
NTLA,SMART,USD
GWRE,SMART,USD
CLF,SMART,USD
HUBB,SMART,USD
AOS,SMART,USD
FIVE,SMART,USD
MIDD,SMART,USD
DOX,SMART,USD
PEN,SMART,USD
LAD,SMART,USD
NBIX,SMART,USD
BMBL,SMART,USD
NWL,SMART,USD
MCFE,SMART,USD
CHDN,SMART,USD
NI,SMART,USD
BHVN,SMART,USD
ACM,SMART,USD
LEA,SMART,USD
AGCO,SMART,USD
JEF,SMART,USD
AIZ,SMART,USD
AA,SMART,USD
XPO,SMART,USD
GL,SMART,USD
RUN,SMART,USD
GXO,SMART,USD
CREE,SMART,USD
FHN,SMART,USD
ATUS,SMART,USD
TPX,SMART,USD
ARMK,SMART,USD
CACC,SMART,USD
LW,SMART,USD
JNPR,SMART,USD
RS,SMART,USD
UGI,SMART,USD
SITE,SMART,USD
UA,SMART,USD
PLAN,SMART,USD
SYNH,SMART,USD
BAP,SMART,USD
MRTX,SMART,USD
G,SMART,USD
H,SMART,USD
DLB,SMART,USD
OC,SMART,USD
LSCC,SMART,USD
FLEX,SMART,USD
GPS,SMART,USD
ST,SMART,USD
WES,SMART,USD
BFAM,SMART,USD
CROX,SMART,USD
DXC,SMART,USD
SMAR,SMART,USD
DOCN,SMART,USD
CVAC,SMART,USD
JBL,SMART,USD
VRT,SMART,USD
OVV,SMART,USD
IPGP,SMART,USD
AN,SMART,USD
CRSP,SMART,USD
OGN,SMART,USD
RL,SMART,USD
SEIC,SMART,USD
PSXP,SMART,USD
AZPN,SMART,USD
NTNX,SMART,USD
WU,SMART,USD
UTHR,SMART,USD
KNX,SMART,USD
ARVL,SMART,USD
MKSI,SMART,USD
SGMS,SMART,USD
BERY,SMART,USD
NYT,SMART,USD
CBSH,SMART,USD
SEE,SMART,USD
ARW,SMART,USD
APA,SMART,USD
TTEK,SMART,USD
SMG,SMART,USD
PAG,SMART,USD
ZNGA,SMART,USD
WEX,SMART,USD
PNW,SMART,USD
VST,SMART,USD
CAR,SMART,USD
OLED,SMART,USD
CIEN,SMART,USD
USFD,SMART,USD
AER,SMART,USD
ATR,SMART,USD
GNTX,SMART,USD
JAZZ,SMART,USD
GMED,SMART,USD
HESM,SMART,USD
OLN,SMART,USD
RGA,SMART,USD
RXN,SMART,USD
HII,SMART,USD
EQT,SMART,USD
ALK,SMART,USD
WMS,SMART,USD
CFR,SMART,USD
LECO,SMART,USD
BRKS,SMART,USD
SRPT,SMART,USD
TNDM,SMART,USD
OMF,SMART,USD
PBCT,SMART,USD
DNB,SMART,USD
CPRI,SMART,USD
BC,SMART,USD
PVH,SMART,USD
ALV,SMART,USD
IAA,SMART,USD
YETI,SMART,USD
PFGC,SMART,USD
WH,SMART,USD
ITT,SMART,USD
BYD,SMART,USD
SHC,SMART,USD
CHH,SMART,USD
WWD,SMART,USD
FAF,SMART,USD
THC,SMART,USD
EHC,SMART,USD
TSP,SMART,USD
PII,SMART,USD
PAA,SMART,USD
SF,SMART,USD
PNFP,SMART,USD
KSS,SMART,USD
PSTG,SMART,USD
WSC,SMART,USD
BJ,SMART,USD
DCI,SMART,USD
GTLS,SMART,USD
OSK,SMART,USD
JHG,SMART,USD
PLNT,SMART,USD
WK,SMART,USD
ORI,SMART,USD
RKLB,SMART,USD
BBIO,SMART,USD
PPC,SMART,USD
SYNA,SMART,USD
M,SMART,USD
POST,SMART,USD
VAC,SMART,USD
VOYA,SMART,USD
THO,SMART,USD
CELH,SMART,USD
SWAV,SMART,USD
CFX,SMART,USD
MEDP,SMART,USD
BL,SMART,USD
NLSN,SMART,USD
CASY,SMART,USD
EEFT,SMART,USD
NCNO,SMART,USD
NVST,SMART,USD
FYBR,SMART,USD
CNM,SMART,USD
APPS,SMART,USD
HUN,SMART,USD
BLD,SMART,USD
FOUR,SMART,USD
EXEL,SMART,USD
ROIV,SMART,USD
SPT,SMART,USD
PB,SMART,USD
KRNT,SMART,USD
JCOM,SMART,USD
FVRR,SMART,USD
AXTA,SMART,USD
APPN,SMART,USD
TOL,SMART,USD
FFIN,SMART,USD
BEPC,SMART,USD
COTY,SMART,USD
OMCL,SMART,USD
SNV,SMART,USD
VRNS,SMART,USD
BYND,SMART,USD
TXRH,SMART,USD
MTZ,SMART,USD
SKX,SMART,USD
OGE,SMART,USD
RNR,SMART,USD
CHNG,SMART,USD
MAT,SMART,USD
ARWR,SMART,USD
INSP,SMART,USD
STVN,SMART,USD
PRGO,SMART,USD
ANGI,SMART,USD
TASK,SMART,USD
NXST,SMART,USD
COLM,SMART,USD
IIVI,SMART,USD
HLI,SMART,USD
SAIA,SMART,USD
CCCS,SMART,USD
CANO,SMART,USD
TNET,SMART,USD
SRCL,SMART,USD
EME,SMART,USD
CYBR,SMART,USD
RPD,SMART,USD
BPOP,SMART,USD
PYCR,SMART,USD
FSK,SMART,USD
AMG,SMART,USD
TDC,SMART,USD
RCM,SMART,USD
FRPT,SMART,USD
SLAB,SMART,USD
BOKF,SMART,USD
ADT,SMART,USD
SAM,SMART,USD
RRR,SMART,USD
RGLD,SMART,USD
NYCB,SMART,USD
NVTA,SMART,USD
