Symbol,Exchange,Currency,Trades Found,Take Profit,Profit,StopLoss,Loss,Wins,%
ARGX,SMART,USD,1,1,0,0,0,1,100
PLBY,SMART,USD,1,1,0,0,0,1,100
NVFY,SMART,USD,1,1,0,0,0,1,100
PETZ,SMART,USD,1,1,0,0,0,1,100
DOGZ,SMART,USD,1,1,0,0,0,1,100
AXP,SMART,USD,1,1,0,0,0,1,100
ATKR,SMART,USD,1,1,0,0,0,1,100
AREC,SMART,USD,1,1,0,0,0,1,100
CRTD,SMART,USD,1,1,0,0,0,1,100
XPL,SMART,USD,1,1,0,0,0,1,100
DBX,SMART,USD,1,1,0,0,0,1,100
PRTS,SMART,USD,1,1,0,0,0,1,100
NVDA,SMART,USD,1,1,0,0,0,1,100
TYME,SMART,USD,1,1,0,0,0,1,100
JOBY,SMART,USD,1,1,0,0,0,1,100
RBAC,SMART,USD,1,1,0,0,0,1,100
STRR,SMART,USD,1,1,0,0,0,1,100
CMA,SMART,USD,1,1,0,0,0,1,100
GL,SMART,USD,1,1,0,0,0,1,100
CI,SMART,USD,1,1,0,0,0,1,100
WWE,SMART,USD,1,1,0,0,0,1,100
SLGG,SMART,USD,1,1,0,0,0,1,100
AXL,SMART,USD,1,1,0,0,0,1,100
GIGM,SMART,USD,1,1,0,0,0,1,100
SRAX,SMART,USD,1,1,0,0,0,1,100
BDTX,SMART,USD,1,1,0,0,0,1,100
AMAT,SMART,USD,1,1,0,0,0,1,100
AEIS,SMART,USD,1,1,0,0,0,1,100
OPRX,SMART,USD,1,1,0,0,0,1,100
MNRL,SMART,USD,1,1,0,0,0,1,100
PRI,SMART,USD,1,1,0,0,0,1,100
CB,SMART,USD,1,1,0,0,0,1,100
ESTE,SMART,USD,1,1,0,0,0,1,100
SMFG,SMART,USD,1,1,0,0,0,1,100
OVV,SMART,USD,1,1,0,0,0,1,100
PLTK,SMART,USD,1,1,0,0,0,1,100
HGEN,SMART,USD,1,1,0,0,0,1,100
GENI,SMART,USD,1,1,0,0,0,1,100
REVG,SMART,USD,1,1,0,0,0,1,100
JHX,SMART,USD,1,1,0,0,0,1,100
JAMF,SMART,USD,1,1,0,0,0,1,100
ABNB,SMART,USD,1,1,0,0,0,1,100
WISH,SMART,USD,1,1,0,0,0,1,100
MITK,SMART,USD,1,1,0,0,0,1,100
SIC,SMART,USD,1,1,0,0,0,1,100
ONTF,SMART,USD,1,1,0,0,0,1,100
TREE,SMART,USD,1,1,0,0,0,1,100
AMC,SMART,USD,1,1,0,0,0,1,100
RAPT,SMART,USD,1,1,0,0,0,1,100
DASH,SMART,USD,1,1,0,0,0,1,100
LZB,SMART,USD,1,1,0,0,0,1,100
FTCI,SMART,USD,1,1,0,0,0,1,100
CMRX,SMART,USD,1,0,1,0,0,1,100
EPZM,SMART,USD,1,0,1,0,0,1,100
TRQ,SMART,USD,1,0,1,0,0,1,100
MIDD,SMART,USD,1,0,1,0,0,1,100
SEDG,SMART,USD,1,0,1,0,0,1,100
HNRG,SMART,USD,1,0,1,0,0,1,100
IONS,SMART,USD,1,0,1,0,0,1,100
GCP,SMART,USD,1,0,1,0,0,1,100
PLXS,SMART,USD,1,0,1,0,0,1,100
SYNA,SMART,USD,1,0,1,0,0,1,100
FSM,SMART,USD,1,0,1,0,0,1,100
NEWR,SMART,USD,1,0,1,0,0,1,100
IEP,SMART,USD,1,0,1,0,0,1,100
SKYW,SMART,USD,1,0,1,0,0,1,100
POOL,SMART,USD,1,0,1,0,0,1,100
ASC,SMART,USD,1,0,1,0,0,1,100
NKTR,SMART,USD,1,0,1,0,0,1,100
STGW,SMART,USD,1,0,1,0,0,1,100
KMX,SMART,USD,1,0,1,0,0,1,100
WAL,SMART,USD,1,0,1,0,0,1,100
DXLG,SMART,USD,1,0,1,0,0,1,100
AL,SMART,USD,1,0,1,0,0,1,100
KWR,SMART,USD,1,0,1,0,0,1,100
BYD,SMART,USD,1,0,1,0,0,1,100
OEG,SMART,USD,1,0,1,0,0,1,100
ORN,SMART,USD,1,0,1,0,0,1,100
ANET,SMART,USD,1,0,1,0,0,1,100
ANTM,SMART,USD,1,0,1,0,0,1,100
BNS,SMART,USD,1,0,1,0,0,1,100
MTN,SMART,USD,1,0,1,0,0,1,100
AXDX,SMART,USD,1,0,1,0,0,1,100
CERN,SMART,USD,1,0,1,0,0,1,100
TNP,SMART,USD,1,0,1,0,0,1,100
HUSA,SMART,USD,1,0,1,0,0,1,100
SLNO,SMART,USD,1,0,1,0,0,1,100
BNFT,SMART,USD,1,0,1,0,0,1,100
SB,SMART,USD,1,0,1,0,0,1,100
DCOM,SMART,USD,1,0,1,0,0,1,100
PTE,SMART,USD,1,0,1,0,0,1,100
ROG,SMART,USD,1,0,1,0,0,1,100
TRVN,SMART,USD,1,0,1,0,0,1,100
NMTR,SMART,USD,1,0,1,0,0,1,100
VIRX,SMART,USD,1,0,1,0,0,1,100
CARS,SMART,USD,1,0,1,0,0,1,100
RIBT,SMART,USD,1,0,1,0,0,1,100
BLIN,SMART,USD,1,0,1,0,0,1,100
ATR,SMART,USD,1,0,1,0,0,1,100
FLR,SMART,USD,1,0,1,0,0,1,100
GWRE,SMART,USD,1,0,1,0,0,1,100
MNRO,SMART,USD,1,0,1,0,0,1,100
MEDP,SMART,USD,1,0,1,0,0,1,100
ZUMZ,SMART,USD,1,0,1,0,0,1,100
HIL,SMART,USD,1,0,1,0,0,1,100
SONY,SMART,USD,1,0,1,0,0,1,100
WCN,SMART,USD,1,0,1,0,0,1,100
CCEP,SMART,USD,1,0,1,0,0,1,100
VRA,SMART,USD,1,0,1,0,0,1,100
ARCB,SMART,USD,1,0,1,0,0,1,100
SCVL,SMART,USD,1,0,1,0,0,1,100
TPST,SMART,USD,1,0,1,0,0,1,100
IIVI,SMART,USD,1,0,1,0,0,1,100
EYEN,SMART,USD,1,0,1,0,0,1,100
CRMD,SMART,USD,1,0,1,0,0,1,100
